city,country,year,avg_temp
Milan,Italy,1743,3.31
Milan,Italy,1744,8.17
Milan,Italy,1745,0.18
Milan,Italy,1750,7.51
Milan,Italy,1751,7.77
Milan,Italy,1752,2.65
Milan,Italy,1753,6.83
Milan,Italy,1754,6.53
Milan,Italy,1755,6.27
Milan,Italy,1756,6.61
Milan,Italy,1757,6.30
Milan,Italy,1758,5.97
Milan,Italy,1759,7.14
Milan,Italy,1760,7.15
Milan,Italy,1761,6.99
Milan,Italy,1762,6.69
Milan,Italy,1763,6.48
Milan,Italy,1764,6.93
Milan,Italy,1765,6.73
Milan,Italy,1766,6.54
Milan,Italy,1767,6.15
Milan,Italy,1768,6.23
Milan,Italy,1769,6.67
Milan,Italy,1770,6.56
Milan,Italy,1771,6.79
Milan,Italy,1772,8.13
Milan,Italy,1773,6.65
Milan,Italy,1774,6.57
Milan,Italy,1775,7.18
Milan,Italy,1776,6.62
Milan,Italy,1777,6.33
Milan,Italy,1778,7.16
Milan,Italy,1779,7.55
Milan,Italy,1780,7.09
Milan,Italy,1781,7.57
Milan,Italy,1782,6.11
Milan,Italy,1783,7.27
Milan,Italy,1784,6.26
Milan,Italy,1785,6.26
Milan,Italy,1786,6.34
Milan,Italy,1787,7.05
Milan,Italy,1788,7.24
Milan,Italy,1789,6.28
Milan,Italy,1790,7.15
Milan,Italy,1791,7.30
Milan,Italy,1792,6.91
Milan,Italy,1793,7.08
Milan,Italy,1794,7.57
Milan,Italy,1795,6.53
Milan,Italy,1796,6.79
Milan,Italy,1797,7.18
Milan,Italy,1798,6.88
Milan,Italy,1799,5.65
Milan,Italy,1800,7.17
Milan,Italy,1801,7.21
Milan,Italy,1802,7.53
Milan,Italy,1803,6.62
Milan,Italy,1804,7.08
Milan,Italy,1805,5.50
Milan,Italy,1806,7.20
Milan,Italy,1807,6.95
Milan,Italy,1808,5.57
Milan,Italy,1809,6.36
Milan,Italy,1810,6.59
Milan,Italy,1811,7.59
Milan,Italy,1812,5.42
Milan,Italy,1813,6.27
Milan,Italy,1814,5.57
Milan,Italy,1815,6.45
Milan,Italy,1816,5.20
Milan,Italy,1817,6.51
Milan,Italy,1818,6.95
Milan,Italy,1819,7.00
Milan,Italy,1820,6.36
Milan,Italy,1821,6.65
Milan,Italy,1822,8.01
Milan,Italy,1823,6.31
Milan,Italy,1824,6.97
Milan,Italy,1825,7.28
Milan,Italy,1826,6.78
Milan,Italy,1827,6.54
Milan,Italy,1828,7.43
Milan,Italy,1829,5.44
Milan,Italy,1830,6.39
Milan,Italy,1831,6.83
Milan,Italy,1832,6.51
Milan,Italy,1833,6.77
Milan,Italy,1834,7.59
Milan,Italy,1835,6.18
Milan,Italy,1836,6.15
Milan,Italy,1837,5.81
Milan,Italy,1838,5.72
Milan,Italy,1839,6.85
Milan,Italy,1840,6.19
Milan,Italy,1841,6.87
Milan,Italy,1842,6.19
Milan,Italy,1843,6.44
Milan,Italy,1844,6.38
Milan,Italy,1845,6.19
Milan,Italy,1846,7.46
Milan,Italy,1847,6.24
Milan,Italy,1848,6.46
Milan,Italy,1849,6.77
Milan,Italy,1850,5.88
Milan,Italy,1851,5.85
Milan,Italy,1852,6.81
Milan,Italy,1853,5.79
Milan,Italy,1854,6.36
Milan,Italy,1855,5.68
Milan,Italy,1856,6.52
Milan,Italy,1857,6.53
Milan,Italy,1858,5.78
Milan,Italy,1859,7.00
Milan,Italy,1860,5.38
Milan,Italy,1861,6.81
Milan,Italy,1862,7.28
Milan,Italy,1863,7.32
Milan,Italy,1864,5.99
Milan,Italy,1865,6.99
Milan,Italy,1866,7.05
Milan,Italy,1867,6.80
Milan,Italy,1868,7.21
Milan,Italy,1869,6.61
Milan,Italy,1870,6.19
Milan,Italy,1871,5.98
Milan,Italy,1872,7.14
Milan,Italy,1873,7.13
Milan,Italy,1874,6.52
Milan,Italy,1875,6.45
Milan,Italy,1876,6.65
Milan,Italy,1877,6.79
Milan,Italy,1878,6.42
Milan,Italy,1879,5.91
Milan,Italy,1880,6.97
Milan,Italy,1881,6.47
Milan,Italy,1882,6.78
Milan,Italy,1883,6.05
Milan,Italy,1884,6.59
Milan,Italy,1885,6.56
Milan,Italy,1886,6.55
Milan,Italy,1887,5.64
Milan,Italy,1888,5.79
Milan,Italy,1889,5.81
Milan,Italy,1890,5.92
Milan,Italy,1891,5.92
Milan,Italy,1892,6.50
Milan,Italy,1893,6.82
